Name,Player,Rk,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GS/G,G/MaxG,MP_sq,PTS_sq,Market_Val,Current_Sal
deividassirvydis,Deividas Sirvydis,507,SG,21,DET,3,0,9.0,0.3,3.3,0.1,0.3,2.3,0.143,0.0,1.0,0.0,0.15,0.0,0.0,0.765,0.0,2.0,2.0,0.3,1.0,0.3,0.0,1.3,1.0,0.0,0.036585365853658534,81.0,1.0,2.6150245686372977,
javontesmart,Javonte Smart,508,PG,22,TOT,17,1,11.8,1.1,3.5,0.317,0.5,1.6,0.296,0.6,1.9,0.333,0.383,0.3,0.4,0.833,0.3,1.1,1.4,0.9,0.4,0.2,0.6,0.7,3.0,0.058823529411764705,0.2073170731707317,139.24,9.0,0.9051710784671192,
javontesmart,Javonte Smart,508,PG,22,MIL,13,1,12.3,0.8,3.3,0.256,0.3,1.4,0.222,0.5,1.9,0.28,0.302,0.4,0.5,0.833,0.3,1.2,1.5,1.1,0.3,0.2,0.7,0.8,2.4,0.07692307692307693,0.15853658536585366,151.29000000000002,5.76,0.8528314710077325,
javontesmart,Javonte Smart,508,PG,22,MIA,4,0,10.0,2.0,4.3,0.471,1.0,2.3,0.444,1.0,2.0,0.5,0.588,0.0,0.0,0.765,0.3,1.0,1.3,0.5,0.5,0.3,0.5,0.3,5.0,0.0,0.04878048780487805,100.0,25.0,0.3757814145684941,
marcussmart,Marcus Smart,509,PG,27,BOS,71,71,32.3,4.2,10.1,0.418,1.7,5.1,0.331,2.5,5.0,0.506,0.501,2.0,2.5,0.793,0.6,3.2,3.8,5.9,1.7,0.3,2.2,2.3,12.1,1.0,0.8658536585365854,1043.2899999999997,146.41,16.2534879909223,14.339285
dennissmithjr,Dennis Smith Jr,510,PG,24,POR,37,4,17.2,2.1,5.1,0.418,0.2,0.7,0.222,2.0,4.4,0.451,0.434,1.1,1.7,0.656,0.5,1.8,2.4,3.6,1.2,0.3,1.4,1.4,5.6,0.10810810810810811,0.45121951219512196,295.84,31.359999999999996,3.582320308226487,1.789256
ishsmith,Ish Smith,511,PG,33,TOT,65,1,17.3,2.8,6.6,0.43,0.4,1.0,0.373,2.5,5.6,0.441,0.459,0.2,0.4,0.625,0.4,1.8,2.2,3.8,0.7,0.4,1.2,1.2,6.3,0.015384615384615385,0.7926829268292683,299.29,39.69,5.607534602009758,4.5
ishsmith,Ish Smith,511,PG,33,CHO,37,1,13.8,2.0,5.0,0.395,0.3,0.7,0.4,1.7,4.3,0.394,0.422,0.3,0.5,0.632,0.3,1.2,1.5,2.6,0.5,0.3,1.0,0.9,4.5,0.02702702702702703,0.45121951219512196,190.44000000000003,20.25,2.502646506290205,4.5
ishsmith,Ish Smith,511,PG,33,WAS,28,0,22.0,4.0,8.8,0.457,0.5,1.5,0.357,3.5,7.3,0.478,0.488,0.1,0.2,0.6,0.5,2.5,3.0,5.2,1.0,0.5,1.5,1.6,8.6,0.0,0.34146341463414637,484.0,73.96,6.98130141616198,4.5
jalensmith,Jalen Smith,512,PF,21,TOT,51,8,18.1,3.5,6.9,0.503,0.8,2.4,0.328,2.7,4.5,0.596,0.56,1.5,2.0,0.765,2.0,4.0,6.0,0.5,0.3,0.8,0.8,1.9,9.2,0.1568627450980392,0.6219512195121951,327.61000000000007,84.63999999999999,3.8890680421304116,4.458
jalensmith,Jalen Smith,512,PF,21,PHO,29,4,13.2,2.2,4.7,0.46,0.3,1.3,0.231,1.9,3.4,0.551,0.493,1.4,1.8,0.769,1.9,2.9,4.8,0.2,0.2,0.6,0.8,1.8,6.0,0.13793103448275862,0.35365853658536583,174.23999999999998,36.0,1.0814799959109207,4.458
jalensmith,Jalen Smith,512,PF,21,IND,22,4,24.7,5.1,9.7,0.531,1.4,3.8,0.373,3.7,5.9,0.631,0.603,1.7,2.3,0.76,2.1,5.5,7.6,0.8,0.4,1.0,0.9,2.0,13.4,0.18181818181818182,0.2682926829268293,610.0899999999999,179.56,7.708860252869154,4.458
xaviersneed,Xavier Sneed,513,SF,24,TOT,9,0,4.3,0.2,1.1,0.2,0.1,0.9,0.125,0.1,0.2,0.5,0.25,0.0,0.0,0.765,0.2,0.4,0.7,0.1,0.0,0.0,0.0,0.2,0.6,0.0,0.10975609756097561,18.49,0.36,4.228988157765892,
xaviersneed,Xavier Sneed,513,SF,24,MEM,2,0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.765,0.5,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.024390243902439025,16.0,0.0,4.592879226487021,
xaviersneed,Xavier Sneed,513,SF,24,UTA,7,0,4.4,0.3,1.1,0.25,0.1,0.9,0.167,0.1,0.3,0.5,0.313,0.0,0.0,0.765,0.1,0.4,0.6,0.1,0.0,0.0,0.0,0.0,0.7,0.0,0.08536585365853659,19.360000000000003,0.48999999999999994,3.871170640173134,
tonysnell,Tony Snell,514,SG,30,TOT,53,12,15.5,1.3,3.2,0.404,0.8,2.4,0.352,0.5,0.8,0.558,0.535,0.1,0.1,1.0,0.3,1.6,1.9,0.5,0.3,0.2,0.4,1.3,3.5,0.22641509433962265,0.6463414634146342,240.25,12.25,2.4810339836923285,2.389641
tonysnell,Tony Snell,514,SG,30,POR,38,10,14.4,0.9,2.6,0.371,0.6,2.0,0.32,0.3,0.6,0.545,0.495,0.1,0.1,1.0,0.3,1.6,1.9,0.5,0.2,0.2,0.3,1.2,2.6,0.2631578947368421,0.4634146341463415,207.36,6.760000000000001,2.2389684368094063,2.389641
tonysnell,Tony Snell,514,SG,30,NOP,15,2,18.5,2.2,4.9,0.446,1.4,3.5,0.396,0.8,1.4,0.571,0.588,0.1,0.1,1.0,0.3,1.7,2.1,0.5,0.5,0.1,0.5,1.7,5.9,0.13333333333333333,0.18292682926829268,342.25,34.81,0.8867568746294063,2.389641
jadenspringer,Jaden Springer,515,SG,19,PHI,2,0,3.0,0.5,0.5,1.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.765,0.5,0.5,1.0,0.0,0.0,1.0,0.5,0.0,1.0,0.0,0.024390243902439025,9.0,1.0,3.6044022984451636,2.0238
cassiusstanley,Cassius Stanley,516,SG,22,DET,9,1,17.2,2.1,5.1,0.413,0.4,1.9,0.235,1.7,3.2,0.517,0.457,1.1,1.1,1.0,0.6,1.6,2.1,0.4,0.6,0.2,0.7,1.9,5.8,0.1111111111111111,0.10975609756097561,295.84,33.64,-0.38042346085691037,
nikstauskas,Nik Stauskas,517,SG,28,TOT,8,0,4.9,0.6,1.8,0.357,0.5,1.3,0.4,0.1,0.5,0.25,0.5,0.5,0.8,0.667,0.1,0.3,0.4,0.3,0.0,0.0,0.1,0.1,2.3,0.0,0.0975609756097561,24.010000000000005,5.289999999999999,2.460711802851776,
nikstauskas,Nik Stauskas,517,SG,28,MIA,2,0,12.0,1.5,4.0,0.375,1.0,2.0,0.5,0.5,2.0,0.25,0.5,1.5,2.0,0.75,0.5,1.0,1.5,0.5,0.0,0.0,0.0,0.5,5.5,0.0,0.024390243902439025,144.0,30.25,0.371281313033891,
nikstauskas,Nik Stauskas,517,SG,28,BOS,6,0,2.5,0.3,1.0,0.333,0.3,1.0,0.333,0.0,0.0,,0.5,0.2,0.3,0.5,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,1.2,0.0,0.07317073170731707,6.25,1.44,3.509086052016612,
lancestephenson,Lance Stephenson,518,PG-SG,31,TOT,46,1,17.7,3.2,7.0,0.455,0.6,2.0,0.3,2.6,5.1,0.515,0.497,1.4,1.7,0.788,0.3,2.5,2.8,3.6,0.5,0.1,1.6,2.1,8.3,0.021739130434782608,0.5609756097560976,313.28999999999996,68.89000000000001,4.261760228415633,
lancestephenson,Lance Stephenson,518,SG,31,ATL,6,0,11.7,0.8,2.2,0.385,0.0,0.5,0.0,0.8,1.7,0.5,0.385,0.2,0.3,0.5,0.2,2.3,2.5,1.8,0.0,0.0,0.7,1.3,1.8,0.0,0.07317073170731707,136.89,3.24,2.7348462440971146,
lancestephenson,Lance Stephenson,518,PG,31,IND,40,1,18.6,3.6,7.8,0.458,0.7,2.2,0.31,2.9,5.6,0.516,0.502,1.6,2.0,0.795,0.3,2.5,2.8,3.9,0.6,0.1,1.7,2.2,9.3,0.025,0.4878048780487805,345.96000000000004,86.49000000000001,4.678510547713211,
lamarstevens,Lamar Stevens,519,PF,24,CLE,63,13,16.1,2.5,5.1,0.489,0.3,1.0,0.277,2.2,4.0,0.543,0.517,0.8,1.2,0.707,0.7,1.9,2.6,0.7,0.5,0.3,0.7,1.7,6.1,0.20634920634920634,0.7682926829268293,259.21000000000004,37.209999999999994,2.9277488263830023,1.517981
