Name,Player,Rk,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GS/G,G/MaxG,MP_sq,PTS_sq,Market_Val,Current_Sal
preciousachiuwa,Precious Achiuwa,1,C,22,TOR,73,28,23.6,3.6,8.3,0.439,0.8,2.1,0.359,2.9,6.1,0.468,0.486,1.1,1.8,0.595,2.0,4.5,6.5,1.1,0.5,0.6,1.2,2.1,9.1,0.3835616438356164,0.8902439024390244,556.96,82.80999999999999,5.979357296100002,2.71128
stevenadams,Steven Adams,2,C,28,MEM,76,75,26.3,2.8,5.1,0.547,0.0,0.0,0.0,2.8,5.0,0.548,0.547,1.4,2.6,0.543,4.6,5.4,10.0,3.4,0.9,0.8,1.5,2.0,6.9,0.9868421052631579,0.926829268292683,691.69,47.61000000000001,11.457599692299011,17.073171
bamadebayo,Bam Adebayo,3,C,24,MIA,56,56,32.6,7.3,13.0,0.557,0.0,0.1,0.0,7.3,12.9,0.562,0.557,4.6,6.1,0.753,2.4,7.6,10.1,3.4,1.4,0.8,2.6,3.1,19.1,1.0,0.6829268292682927,1062.76,364.81000000000006,21.05970445161671,28.10355
santialdama,Santi Aldama,4,PF,21,MEM,32,0,11.3,1.7,4.1,0.402,0.2,1.5,0.125,1.5,2.6,0.56,0.424,0.6,1.0,0.625,1.0,1.7,2.7,0.7,0.2,0.3,0.5,1.1,4.1,0.0,0.3902439024390244,127.69000000000001,16.81,2.539127726843585,1.99452
lamarcusaldridge,LaMarcus Aldridge,5,C,36,BRK,47,12,22.3,5.4,9.7,0.55,0.3,1.0,0.304,5.1,8.8,0.578,0.566,1.9,2.2,0.873,1.6,3.9,5.5,0.9,0.3,1.0,0.9,1.7,12.9,0.2553191489361702,0.573170731707317,497.29,166.41,7.247539632716234,2.641691
nickeilalexanderwalker,Nickeil Alexander-Walker,6,SG,23,TOT,65,21,22.6,3.9,10.5,0.372,1.6,5.2,0.311,2.3,5.3,0.433,0.449,1.2,1.7,0.743,0.6,2.3,2.9,2.4,0.7,0.4,1.4,1.6,10.6,0.3230769230769231,0.7926829268292683,510.76000000000005,112.36,7.007485970070148,3.26148
nickeilalexanderwalker,Nickeil Alexander-Walker,6,SG,23,NOP,50,19,26.3,4.7,12.6,0.375,1.9,6.1,0.311,2.8,6.5,0.434,0.45,1.4,1.9,0.722,0.7,2.6,3.3,2.8,0.8,0.4,1.7,1.8,12.8,0.38,0.6097560975609756,691.69,163.84000000000003,9.240649693008372,3.26148
nickeilalexanderwalker,Nickeil Alexander-Walker,6,SG,23,UTA,15,2,9.9,1.1,3.2,0.333,0.7,2.2,0.303,0.4,1.0,0.4,0.438,0.7,0.8,0.917,0.1,1.5,1.5,1.1,0.3,0.3,0.5,1.0,3.5,0.13333333333333333,0.18292682926829268,98.01,12.25,1.9216334163151805,3.26148
graysonallen,Grayson Allen,7,SG,26,MIL,66,61,27.3,3.9,8.6,0.448,2.4,5.9,0.409,1.5,2.7,0.533,0.588,1.0,1.1,0.865,0.5,2.9,3.4,1.5,0.7,0.3,0.7,1.5,11.1,0.9242424242424242,0.8048780487804879,745.2900000000001,123.21,10.72226488904888,4.054695
jarrettallen,Jarrett Allen,8,C,23,CLE,56,56,32.3,6.6,9.7,0.677,0.0,0.2,0.1,6.6,9.6,0.688,0.678,2.9,4.2,0.708,3.4,7.3,10.8,1.6,0.8,1.3,1.7,1.7,16.1,1.0,0.6829268292682927,1043.2899999999997,259.21000000000004,17.144952998778262,20.0
josealvarado,Jose Alvarado,9,PG,23,NOP,54,1,15.4,2.4,5.4,0.446,0.6,2.0,0.291,1.8,3.4,0.538,0.5,0.7,1.0,0.679,0.5,1.4,1.9,2.8,1.3,0.1,0.7,1.4,6.1,0.018518518518518517,0.6585365853658537,237.16000000000003,37.209999999999994,5.100099743095844,
justinanderson,Justin Anderson,10,SF,28,TOT,16,6,19.8,2.3,5.9,0.379,0.9,3.7,0.254,1.3,2.3,0.583,0.458,0.9,1.2,0.789,0.3,2.6,2.9,2.1,0.5,0.4,0.5,1.4,6.4,0.375,0.1951219512195122,392.04,40.96000000000001,4.197152211071451,
justinanderson,Justin Anderson,10,SF,28,CLE,3,0,15.7,1.3,2.7,0.5,0.7,2.0,0.333,0.7,0.7,1.0,0.625,1.0,1.3,0.75,0.0,2.0,2.0,2.0,0.3,0.0,0.7,1.3,4.3,0.0,0.036585365853658534,246.48999999999998,18.49,0.8268025467721616,
justinanderson,Justin Anderson,10,SF,28,IND,13,6,20.7,2.5,6.7,0.368,1.0,4.1,0.245,1.5,2.6,0.559,0.443,0.9,1.2,0.8,0.3,2.8,3.1,2.1,0.5,0.5,0.5,1.4,6.8,0.46153846153846156,0.15853658536585366,428.48999999999995,46.239999999999995,4.618492484572684,
kyleanderson,Kyle Anderson,11,PF,28,MEM,69,11,21.5,3.0,6.8,0.446,0.5,1.6,0.33,2.5,5.2,0.481,0.484,1.0,1.5,0.638,1.0,4.3,5.3,2.7,1.1,0.7,1.0,1.6,7.6,0.15942028985507245,0.8414634146341463,462.25,57.76,6.650320367344959,9.93715
giannisantetokounmpo,Giannis Antetokounmpo,12,PF,27,MIL,67,67,32.9,10.3,18.6,0.553,1.1,3.6,0.293,9.2,15.0,0.616,0.582,8.3,11.4,0.722,2.0,9.6,11.6,5.8,1.1,1.4,3.3,3.2,29.9,1.0,0.8170731707317073,1082.4099999999999,894.0099999999999,43.31191652969445,39.34497
thanasisantetokounmpo,Thanasis Antetokounmpo,13,SF,29,MIL,48,6,9.9,1.5,2.7,0.547,0.0,0.3,0.143,1.4,2.4,0.596,0.555,0.6,1.0,0.63,0.8,1.3,2.1,0.5,0.3,0.3,0.5,1.4,3.6,0.125,0.5853658536585366,98.01,12.96,3.2031336985874823,1.729217
carmeloanthony,Carmelo Anthony,14,PF,37,LAL,69,3,26.0,4.6,10.5,0.441,2.2,5.8,0.375,2.5,4.7,0.521,0.544,1.9,2.3,0.83,0.9,3.3,4.2,1.0,0.7,0.8,0.9,2.4,13.3,0.043478260869565216,0.8414634146341463,676.0,176.89000000000001,9.333734878050324,2.641691
coleanthony,Cole Anthony,15,PG,21,ORL,65,65,31.7,5.5,14.0,0.391,2.0,6.0,0.338,3.5,8.0,0.432,0.464,3.3,3.9,0.854,0.5,4.9,5.4,5.7,0.7,0.3,2.6,2.6,16.3,1.0,0.7926829268292683,1004.89,265.69,18.818246273090875,3.4494
oganunoby,OG Anunoby,16,SF,24,TOR,48,48,36.0,6.4,14.5,0.443,2.4,6.6,0.363,4.0,7.9,0.511,0.526,1.9,2.5,0.754,1.5,4.0,5.5,2.6,1.5,0.5,1.7,2.7,17.1,1.0,0.5853658536585366,1296.0,292.41,20.61162621492609,16.071429
ryanarcidiacono,Ryan Arcidiacono,17,PG,27,NYK,10,0,7.6,0.6,1.2,0.5,0.4,0.9,0.444,0.2,0.3,0.667,0.667,0.0,0.0,0.765,0.0,0.8,0.8,0.4,0.1,0.0,0.3,0.5,1.6,0.0,0.12195121951219512,57.76,2.5600000000000005,1.1567829518954502,
trevorariza,Trevor Ariza,18,SF,36,LAL,24,11,19.3,1.4,4.1,0.333,0.8,3.1,0.27,0.5,1.0,0.52,0.434,0.4,0.8,0.556,0.4,3.0,3.4,1.1,0.5,0.3,0.5,0.8,4.0,0.4583333333333333,0.2926829268292683,372.49,16.0,2.8994825523572887,2.641691
djaugustin,DJ Augustin,19,PG,34,TOT,55,2,16.1,1.7,4.0,0.423,1.2,3.0,0.415,0.5,1.1,0.448,0.577,0.7,0.8,0.884,0.2,1.0,1.2,1.9,0.3,0.0,1.0,0.7,5.3,0.03636363636363636,0.6707317073170732,259.21000000000004,28.09,2.279860807636317,7.0
djaugustin,DJ Augustin,19,PG,34,HOU,34,2,15.0,1.6,4.0,0.404,1.1,2.8,0.406,0.5,1.2,0.4,0.548,1.0,1.1,0.868,0.2,1.0,1.2,2.2,0.3,0.0,1.3,0.5,5.4,0.058823529411764705,0.4146341463414634,225.0,29.160000000000004,0.9411356668421176,7.0
djaugustin,DJ Augustin,19,PG,34,LAL,21,0,17.8,1.9,4.1,0.453,1.4,3.2,0.426,0.5,0.9,0.556,0.622,0.2,0.2,1.0,0.2,1.1,1.3,1.6,0.3,0.0,0.5,1.0,5.3,0.0,0.25609756097560976,316.84000000000003,28.09,1.8654515393954716,7.0
deniavdija,Deni Avdija,20,SF,21,WAS,82,8,24.2,3.0,7.1,0.432,1.0,3.2,0.317,2.0,3.9,0.525,0.503,1.3,1.7,0.757,0.6,4.5,5.2,2.0,0.7,0.5,1.1,2.3,8.4,0.0975609756097561,1.0,585.64,70.56,6.875127179977364,4.69284
joelayayi,Joel Ayayi,21,SG,21,WAS,7,0,2.9,0.1,0.9,0.167,0.0,0.1,0.0,0.1,0.7,0.2,0.167,0.0,0.0,0.765,0.1,0.3,0.4,0.6,0.0,0.0,0.0,0.0,0.3,0.0,0.08536585365853659,8.41,0.09,6.03333779861727,
deandreayton,Deandre Ayton,22,C,23,PHO,58,58,29.5,7.6,12.0,0.634,0.1,0.3,0.368,7.5,11.7,0.642,0.639,1.8,2.4,0.746,2.6,7.7,10.2,1.4,0.7,0.7,1.6,2.4,17.2,1.0,0.7073170731707317,870.25,295.84,16.553808179666994,12.63295
udokaazubuike,Udoka Azubuike,23,C,22,UTA,17,6,11.5,2.2,2.9,0.755,0.0,0.0,0.0,2.2,2.9,0.755,0.755,0.4,0.6,0.545,1.1,3.1,4.2,0.0,0.1,0.6,0.7,1.5,4.7,0.35294117647058826,0.2073170731707317,132.25,22.090000000000003,2.0564343012355373,2.07588
marvinbagleyiii,Marvin Bagley III,24,PF,22,TOT,48,25,24.0,4.7,9.3,0.504,0.5,2.0,0.237,4.2,7.3,0.579,0.53,1.4,2.1,0.663,2.2,4.9,7.0,0.8,0.5,0.4,0.8,1.9,11.3,0.5208333333333334,0.5853658536585366,576.0,127.69000000000001,7.875888344010418,11.312114
marvinbagleyiii,Marvin Bagley III,24,PF,22,SAC,30,17,22.1,3.8,8.2,0.463,0.5,2.1,0.242,3.3,6.1,0.538,0.494,1.2,1.6,0.745,2.2,4.9,7.2,0.6,0.3,0.4,0.7,1.7,9.3,0.5666666666666667,0.36585365853658536,488.4100000000001,86.49000000000001,5.368392544039209,11.312114
marvinbagleyiii,Marvin Bagley III,24,PF,22,DET,18,8,27.2,6.2,11.1,0.555,0.4,1.9,0.229,5.7,9.2,0.624,0.575,1.8,3.0,0.593,2.1,4.7,6.8,1.1,0.7,0.4,1.0,2.4,14.6,0.4444444444444444,0.21951219512195122,739.8399999999999,213.16,10.259242739962215,11.312114
lameloball,LaMelo Ball,25,PG,20,CHO,75,75,32.3,7.2,16.7,0.429,2.9,7.5,0.389,4.2,9.2,0.462,0.517,2.8,3.2,0.872,1.4,5.2,6.7,7.6,1.6,0.4,3.3,3.2,20.1,1.0,0.9146341463414634,1043.2899999999997,404.01000000000005,26.7957110641137,8.23176
lonzoball,Lonzo Ball,26,PG,24,CHI,35,35,34.6,4.6,10.9,0.423,3.1,7.4,0.423,1.5,3.5,0.423,0.567,0.6,0.8,0.75,1.0,4.4,5.4,5.1,1.8,0.9,2.3,2.4,13.0,1.0,0.4268292682926829,1197.16,169.0,16.77359094122361,18.604651
mobamba,Mo Bamba,27,C,23,ORL,71,69,25.7,4.2,8.7,0.48,1.5,4.0,0.381,2.7,4.7,0.563,0.566,0.8,1.0,0.781,2.1,6.0,8.1,1.2,0.5,1.7,1.1,2.6,10.6,0.971830985915493,0.8658536585365854,660.49,112.36,9.871949995909308,7.568742
desmondbane,Desmond Bane,28,SG,23,MEM,76,76,29.8,6.7,14.5,0.461,3.0,6.9,0.436,3.7,7.6,0.484,0.565,1.8,2.0,0.903,0.6,3.8,4.4,2.7,1.2,0.4,1.5,2.6,18.2,1.0,0.926829268292683,888.0400000000001,331.23999999999995,20.091072478660273,2.03316
dalanobanton,Dalano Banton,29,PG,22,TOR,64,1,10.9,1.3,3.2,0.411,0.2,0.8,0.255,1.1,2.4,0.464,0.443,0.4,0.7,0.591,0.6,1.3,1.9,1.5,0.4,0.2,0.8,1.1,3.2,0.015625,0.7804878048780488,118.81,10.240000000000002,3.667278484501495,0.925258
catbarber,Cat Barber,30,PG,27,ATL,3,0,4.3,0.0,1.3,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.3,0.0,0.3,0.7,1.0,1.0,0.0,0.0,0.3,0.3,0.0,0.0,0.036585365853658534,18.49,0.0,5.105461247023293,
harrisonbarnes,Harrison Barnes,31,PF,29,SAC,77,77,33.5,5.1,10.8,0.469,1.8,4.7,0.394,3.2,6.2,0.525,0.554,4.4,5.4,0.826,1.1,4.5,5.6,2.4,0.7,0.2,1.5,1.2,16.4,1.0,0.9390243902439024,1122.25,268.96,18.024131157600237,20.284091
scottiebarnes,Scottie Barnes,32,PF,20,TOR,74,74,35.4,6.2,12.6,0.492,0.8,2.6,0.301,5.4,10.0,0.543,0.524,2.1,2.9,0.735,2.6,4.9,7.5,3.5,1.1,0.7,1.8,2.6,15.3,1.0,0.9024390243902439,1253.1599999999999,234.09000000000003,20.246261407964212,7.28052
rjbarrett,RJ Barrett,33,SF,21,NYK,70,70,34.5,7.0,17.1,0.408,2.0,5.8,0.342,5.0,11.3,0.442,0.466,4.1,5.8,0.714,0.9,4.9,5.8,3.0,0.6,0.2,2.2,2.0,20.0,1.0,0.8536585365853658,1190.25,400.0,23.100901259214716,8.62392
willbarton,Will Barton,34,SG,31,DEN,71,71,32.1,5.5,12.6,0.438,2.2,6.1,0.365,3.3,6.6,0.504,0.525,1.4,1.8,0.803,0.6,4.2,4.8,3.9,0.8,0.4,1.8,1.6,14.7,1.0,0.8658536585365854,1030.41,216.08999999999997,17.694336056068707,15.384615
parisbass,Paris Bass,35,SF,26,PHO,2,0,3.5,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.5,0.0,1.0,1.0,3.0,0.0,0.024390243902439025,12.25,9.0,1.734081923123921,
charlesbassey,Charles Bassey,36,C,21,PHI,23,0,7.3,1.3,2.0,0.638,0.0,0.2,0.0,1.3,1.9,0.698,0.638,0.4,0.5,0.75,1.0,1.7,2.7,0.3,0.2,0.7,0.3,1.4,3.0,0.0,0.2804878048780488,53.29,9.0,3.7645547543258546,0.925258
keitabatesdiop,Keita Bates-Diop,37,SF,26,SAS,59,14,16.2,2.3,4.5,0.517,0.3,0.9,0.309,2.0,3.5,0.572,0.549,0.8,1.0,0.754,1.1,2.9,3.9,0.7,0.5,0.2,0.8,1.0,5.7,0.23728813559322035,0.7195121951219512,262.44,32.49,2.6548466631816847,1.729217
nicolasbatum,Nicolas Batum,38,PF,33,LAC,59,54,24.8,3.0,6.6,0.463,1.8,4.6,0.4,1.2,2.0,0.607,0.602,0.4,0.6,0.658,0.5,3.8,4.3,1.7,1.0,0.7,0.7,1.4,8.3,0.9152542372881356,0.7195121951219512,615.0400000000001,68.89000000000001,8.315268308544002,12.213507
kentbazemore,Kent Bazemore,39,SF,32,LAL,39,14,14.0,1.2,3.6,0.324,0.7,2.1,0.363,0.4,1.5,0.271,0.428,0.3,0.4,0.765,0.3,1.4,1.8,0.9,0.6,0.2,0.5,1.8,3.4,0.358974358974359,0.47560975609756095,196.0,11.559999999999999,2.338312884629752,2.401537
dariusbazley,Darius Bazley,40,PF,21,OKC,69,53,27.9,4.0,9.4,0.422,1.2,3.9,0.297,2.8,5.5,0.511,0.484,1.7,2.5,0.688,1.0,5.3,6.3,1.4,0.8,1.0,1.3,1.0,10.8,0.7681159420289855,0.8414634146341463,778.41,116.64000000000001,9.317323234535621,2.51304
bradleybeal,Bradley Beal,41,SG,28,WAS,40,40,36.0,8.7,19.3,0.451,1.6,5.3,0.3,7.1,14.0,0.508,0.492,4.2,5.1,0.833,1.0,3.8,4.7,6.6,0.9,0.4,3.4,2.4,23.2,1.0,0.4878048780487805,1296.0,538.24,30.049305381856747,34.50213
malikbeasley,Malik Beasley,42,SG,25,MIN,79,18,25.0,4.2,10.8,0.391,3.0,8.1,0.377,1.2,2.7,0.432,0.532,0.6,0.8,0.817,0.3,2.5,2.9,1.5,0.5,0.2,0.5,1.1,12.1,0.22784810126582278,0.9634146341463414,625.0,146.41,11.003518949255994,14.391964
jordanbell,Jordan Bell,43,C,27,CHI,1,0,2.0,0.0,0.0,0.441,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.765,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.012195121951219513,4.0,0.0,5.66609329238298,
deandrebembry,DeAndre' Bembry,44,SF,27,TOT,56,20,18.3,2.2,3.9,0.561,0.3,0.6,0.417,1.9,3.3,0.589,0.595,0.4,0.6,0.6,0.8,2.2,2.9,1.2,0.9,0.4,0.6,2.0,5.1,0.35714285714285715,0.6829268292682927,334.89000000000004,26.009999999999998,3.2779706888004014,1.93935
deandrebembry,DeAndre' Bembry,44,SF,27,BRK,48,20,19.8,2.5,4.4,0.568,0.3,0.8,0.417,2.2,3.7,0.599,0.603,0.4,0.7,0.6,0.8,2.4,3.2,1.3,1.0,0.5,0.6,2.2,5.8,0.4166666666666667,0.5853658536585366,392.04,33.64,3.562327658423916,1.93935
deandrebembry,DeAndre' Bembry,44,SF,27,MIL,8,0,9.6,0.4,1.0,0.375,0.0,0.0,0.0,0.4,1.0,0.375,0.375,0.0,0.0,0.765,0.5,0.9,1.4,0.8,0.3,0.0,0.1,1.1,0.8,0.0,0.0975609756097561,92.16,0.6400000000000001,3.4275921712110953,1.93935
davisbertans,Davis Bertans,45,PF,29,TOT,56,0,14.4,1.8,4.9,0.36,1.4,4.1,0.335,0.4,0.8,0.489,0.5,0.6,0.7,0.9,0.2,1.9,2.1,0.6,0.3,0.2,0.3,1.5,5.6,0.0,0.6829268292682927,207.36,31.359999999999996,3.2436429570801497,16.0
davisbertans,Davis Bertans,45,PF,29,WAS,34,0,14.7,1.8,5.0,0.351,1.4,4.2,0.319,0.4,0.8,0.519,0.485,0.8,0.9,0.933,0.2,1.6,1.8,0.5,0.3,0.2,0.4,1.6,5.7,0.0,0.4146341463414634,216.08999999999997,32.49,1.6986703665653433,16.0
davisbertans,Davis Bertans,45,PF,29,DAL,22,0,13.9,1.8,4.7,0.375,1.4,3.9,0.36,0.4,0.8,0.444,0.524,0.4,0.5,0.8,0.3,2.3,2.5,0.7,0.3,0.3,0.2,1.4,5.3,0.0,0.2682926829268293,193.21,28.09,2.20399209996478,16.0
patrickbeverley,Patrick Beverley,46,PG,33,MIN,58,54,25.4,3.1,7.5,0.406,1.4,4.2,0.343,1.6,3.3,0.485,0.501,1.7,2.3,0.722,1.1,3.1,4.1,4.6,1.2,0.9,1.3,3.0,9.2,0.9310344827586207,0.7073170731707317,645.16,84.63999999999999,10.921399270069964,14.320988
saddiqbey,Saddiq Bey,47,SF,22,DET,82,82,33.0,5.5,13.9,0.396,2.6,7.4,0.346,2.9,6.4,0.454,0.489,2.6,3.1,0.827,1.3,4.1,5.4,2.8,0.9,0.2,1.2,1.6,16.1,1.0,1.0,1089.0,259.21000000000004,20.265506142491727,2.82432
khembirch,Khem Birch,48,C,29,TOR,55,28,18.0,1.8,3.6,0.485,0.0,0.3,0.0,1.8,3.4,0.522,0.485,1.0,1.3,0.746,2.2,2.1,4.3,1.0,0.5,0.5,0.5,1.9,4.5,0.509090909090909,0.6707317073170732,324.0,20.25,5.079023710777497,6.35
gogabitadze,Goga Bitadze,49,C,22,IND,50,16,14.6,2.6,5.0,0.52,0.5,1.6,0.288,2.2,3.4,0.628,0.565,1.3,1.9,0.681,1.6,2.0,3.5,1.1,0.4,0.8,0.9,2.1,7.0,0.32,0.6097560975609756,213.16,49.0,3.109825666968608,3.0984
bismackbiyombo,Bismack Biyombo,50,C,29,PHO,36,3,14.1,2.4,4.0,0.593,0.0,0.0,0.0,2.4,4.0,0.593,0.593,1.1,2.0,0.535,1.8,2.9,4.6,0.6,0.3,0.7,0.7,1.9,5.8,0.08333333333333333,0.43902439024390244,198.81,33.64,2.8774406081109003,
nemanjabjelica,Nemanja Bjelica,51,C,33,GSW,71,0,16.1,2.3,4.8,0.468,0.8,2.1,0.362,1.5,2.7,0.549,0.547,0.8,1.1,0.728,0.9,3.3,4.1,2.2,0.6,0.4,1.2,1.8,6.1,0.0,0.8658536585365854,259.21000000000004,37.209999999999994,3.975632161708379,2.089448
ericbledsoe,Eric Bledsoe,52,PG,32,LAC,54,29,25.2,3.6,8.7,0.421,0.9,3.0,0.313,2.7,5.6,0.479,0.475,1.6,2.2,0.761,0.5,2.9,3.4,4.2,1.3,0.4,2.1,1.6,9.9,0.5370370370370371,0.6585365853658537,635.04,98.01,7.4238896757461745,18.125
keljinblevins,Keljin Blevins,53,SF,26,POR,31,1,11.3,1.1,3.6,0.306,0.7,2.3,0.292,0.4,1.3,0.333,0.401,0.2,0.4,0.545,0.5,0.9,1.5,0.6,0.4,0.0,0.5,0.9,3.1,0.03225806451612903,0.3780487804878049,127.69000000000001,9.610000000000001,1.627811916820149,
bogdanbogdanovic,Bogdan Bogdanovic,54,SG,29,ATL,63,27,29.3,5.4,12.6,0.431,2.7,7.3,0.368,2.7,5.3,0.516,0.537,1.5,1.8,0.843,0.5,3.5,4.0,3.1,1.1,0.2,1.1,2.1,15.1,0.42857142857142855,0.7682926829268293,858.49,228.01,15.897029301657067,18.0
bojanbogdanovic,Bojan Bogdanovic,55,PF,32,UTA,69,69,30.9,6.1,13.4,0.455,2.6,6.8,0.387,3.5,6.7,0.524,0.552,3.2,3.8,0.858,0.8,3.4,4.3,1.7,0.5,0.0,1.7,1.7,18.1,1.0,0.8414634146341463,954.81,327.61000000000007,17.527777423928747,18.7
bolbol,Bol Bol,56,PF,22,DEN,14,0,5.8,1.1,1.9,0.556,0.1,0.3,0.25,1.0,1.6,0.609,0.574,0.1,0.4,0.4,0.3,1.1,1.4,0.4,0.1,0.1,0.3,0.3,2.4,0.0,0.17073170731707318,33.64,5.76,2.8786883441264792,2.161152
leandrobolmaro,Leandro Bolmaro,57,SF,21,MIN,35,2,6.9,0.5,1.5,0.315,0.1,0.5,0.278,0.3,1.0,0.333,0.361,0.3,0.4,0.846,0.5,0.8,1.2,0.6,0.2,0.0,0.4,0.7,1.4,0.05714285714285714,0.4268292682926829,47.61000000000001,1.9599999999999997,3.242785307995888,2.35332
isaacbonga,Isaac Bonga,58,SF,22,TOR,15,0,4.6,0.2,0.9,0.231,0.1,0.3,0.25,0.1,0.6,0.222,0.269,0.3,0.5,0.625,0.3,0.2,0.5,0.3,0.5,0.1,0.1,0.7,0.8,0.0,0.18292682926829268,21.159999999999997,0.6400000000000001,3.61410179825241,1.729217
devinbooker,Devin Booker,59,SG,25,PHO,68,68,34.5,9.7,20.9,0.466,2.7,7.0,0.383,7.0,13.9,0.508,0.53,4.6,5.3,0.868,0.7,4.4,5.0,4.8,1.1,0.4,2.4,2.6,26.8,1.0,0.8292682926829268,1190.25,718.24,37.95829198344428,31.61
brandonbostonjr,Brandon Boston Jr,60,SG,20,LAC,51,0,14.9,2.5,6.4,0.385,0.7,2.2,0.306,1.8,4.2,0.425,0.437,1.2,1.4,0.819,0.3,1.8,2.2,1.0,0.5,0.3,0.6,0.8,6.7,0.0,0.6219512195121951,222.01000000000002,44.89,2.704630679719383,0.925258
chrisboucher,Chris Boucher,61,SF,29,TOR,80,9,21.1,3.4,7.2,0.464,0.9,2.9,0.297,2.5,4.4,0.575,0.523,1.9,2.4,0.777,2.2,3.9,6.2,0.3,0.6,0.9,0.5,2.2,9.4,0.1125,0.975609756097561,445.21000000000004,88.36000000000001,6.061891064860224,7.009615
jamesbouknight,James Bouknight,62,SG,21,CHO,31,0,9.8,1.6,4.5,0.348,0.5,1.6,0.347,1.0,3.0,0.348,0.408,0.9,1.0,0.871,0.7,1.0,1.7,0.8,0.2,0.0,0.5,0.9,4.6,0.0,0.3780487804878049,96.04000000000002,21.159999999999997,1.8835300296910367,4.1544
averybradley,Avery Bradley,63,SG,31,LAL,62,45,22.7,2.4,5.6,0.423,1.3,3.4,0.39,1.1,2.3,0.471,0.54,0.3,0.3,0.889,0.5,1.7,2.2,0.8,0.9,0.1,0.6,1.9,6.4,0.7258064516129032,0.7560975609756098,515.29,40.96000000000001,4.938424279053082,2.641691
tonybradley,Tony Bradley,64,C,24,CHI,55,7,10.0,1.3,2.2,0.585,0.0,0.0,0.0,1.3,2.2,0.585,0.585,0.3,0.5,0.655,1.2,2.2,3.4,0.5,0.2,0.6,0.6,1.1,3.0,0.12727272727272726,0.6707317073170732,100.0,9.0,4.285158273834467,1.789256
ignasbrazdeikis,Ignas Brazdeikis,65,SF,23,ORL,42,1,12.8,1.9,4.5,0.431,0.6,2.1,0.31,1.3,2.4,0.535,0.503,0.5,0.8,0.656,0.5,1.2,1.7,0.9,0.2,0.1,0.4,1.1,5.0,0.023809523809523808,0.5121951219512195,163.84000000000003,25.0,2.618416595743256,
mikalbridges,Mikal Bridges,66,SF,25,PHO,82,82,34.8,5.6,10.5,0.534,1.4,3.8,0.369,4.2,6.7,0.628,0.601,1.6,1.9,0.834,0.9,3.3,4.2,2.3,1.2,0.4,0.8,1.8,14.2,1.0,1.0,1211.0399999999997,201.64,19.13099917227793,5.557725
milesbridges,Miles Bridges,67,PF,23,CHO,80,80,35.5,7.5,15.2,0.491,1.9,5.8,0.331,5.5,9.4,0.59,0.554,3.3,4.2,0.802,1.1,5.9,7.0,3.8,0.9,0.8,1.9,2.4,20.2,1.0,0.975609756097561,1260.25,408.03999999999996,27.300876746887624,5.421493
oshaebrissett,Oshae Brissett,68,SF,23,IND,67,25,23.3,3.1,7.6,0.411,1.2,3.5,0.35,1.9,4.0,0.465,0.493,1.7,2.4,0.695,1.6,3.7,5.3,1.1,0.7,0.4,0.8,1.7,9.1,0.373134328358209,0.8170731707317073,542.89,82.80999999999999,6.223147274636968,1.701593
malcolmbrogdon,Malcolm Brogdon,69,PG,29,IND,36,36,33.5,6.8,15.1,0.448,1.6,5.2,0.312,5.1,9.9,0.518,0.501,4.0,4.6,0.856,0.9,4.2,5.1,5.9,0.8,0.4,2.1,2.0,19.1,1.0,0.43902439024390244,1122.25,364.81000000000006,23.733646431649525,21.7
armonibrooks,Armoni Brooks,70,SG-PG,23,TOT,54,11,15.6,1.8,5.4,0.339,1.4,4.6,0.297,0.4,0.7,0.6,0.467,0.3,0.4,0.857,0.4,1.5,1.9,1.1,0.5,0.2,0.5,1.4,5.3,0.2037037037037037,0.6585365853658537,243.35999999999999,28.09,3.753853194126782,1.489065
armonibrooks,Armoni Brooks,70,SG,23,HOU,41,8,16.8,2.1,6.1,0.347,1.6,5.2,0.3,0.6,0.9,0.605,0.474,0.4,0.5,0.842,0.3,1.7,2.0,1.2,0.5,0.2,0.6,1.5,6.2,0.1951219512195122,0.5,282.24,38.440000000000005,3.2896381011934803,1.489065
armonibrooks,Armoni Brooks,70,PG,23,TOR,13,3,11.8,0.8,2.9,0.289,0.8,2.8,0.278,0.1,0.2,0.5,0.421,0.2,0.2,1.0,0.6,1.1,1.7,1.0,0.5,0.2,0.3,1.1,2.6,0.23076923076923078,0.15853658536585366,139.24,6.760000000000001,2.315968692739208,1.489065
dillonbrooks,Dillon Brooks,71,SF,26,MEM,32,31,27.7,7.1,16.4,0.432,1.4,4.7,0.309,5.7,11.8,0.48,0.475,2.8,3.3,0.849,0.9,2.3,3.2,2.8,1.1,0.3,1.6,3.3,18.4,0.96875,0.3902439024390244,767.29,338.55999999999995,16.372659438603247,12.2
